,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
38,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600617,2017-01-16T00:00:00,DEN vs. ORL,W,35.85,13,19,0.684,1,2,0.5,3,5,0.6,3,8,11,5,2,3,1,0,2,4,30,18,60.7,1,0,55.0,1,1,1,1,10,3,6,20,12,26,13,24,14,47,20,23,27,25,31,4,14,1,13,19,4,10,6,1,7,6,1,35:51
39,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600589,2017-01-12T00:00:00,DEN vs. IND,W,30.2,7,11,0.636,2,3,0.667,6,6,1.0,3,7,10,8,3,1,1,1,1,3,22,29,49.0,1,0,46.0,1,1,1,1,30,30,36,25,2,10,7,6,8,1,20,31,35,11,17,14,14,39,2,30,19,2,20,1,7,19,1,30:12
40,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600543,2017-01-05T00:00:00,DEN vs. SAS,L,27.333333333333332,8,10,0.8,0,0,0.0,3,4,0.75,5,6,11,5,3,1,0,0,2,3,19,-9,39.7,1,0,37.0,1,38,38,38,39,20,42,6,34,54,34,24,22,35,12,37,27,25,17,14,36,1,13,30,26,62,36,1,7,33,1,27:20
41,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600526,2017-01-03T00:00:00,DEN vs. SAC,L,28.383333333333333,7,11,0.636,1,2,0.5,3,3,1.0,1,5,6,5,1,1,1,0,3,5,18,-20,37.7,0,0,34.0,1,38,38,38,36,30,36,25,12,26,13,24,31,1,54,44,53,25,48,14,14,1,29,10,30,70,38,40,7,39,1,28:23
42,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600520,2017-01-02T00:00:00,DEN @ GSW,L,24.8,8,17,0.471,1,2,0.5,4,4,1.0,8,5,13,5,2,1,0,0,2,4,21,-5,45.1,1,0,42.0,1,38,38,38,47,20,11,59,12,26,13,16,22,1,2,44,17,25,31,14,36,1,13,19,21,54,26,1,7,25,1,24:48
43,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600500,2016-12-30T00:00:00,DEN vs. PHI,L,22.261666666666667,9,13,0.692,0,0,0.0,7,9,0.778,2,5,7,4,2,0,0,2,5,7,25,-1,37.4,0,0,36.0,1,38,38,38,54,14,28,16,34,54,34,4,3,34,38,44,50,36,31,40,36,62,62,4,13,47,40,40,7,37,1,22:16
44,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600483,2016-12-28T00:00:00,DEN vs. MIN,W,34.435,6,12,0.5,0,2,0.0,4,5,0.8,2,6,8,11,2,0,1,0,3,4,16,-3,43.1,1,0,37.0,1,1,1,1,14,39,32,50,34,26,34,16,14,29,38,37,46,2,31,40,14,1,29,19,39,51,30,1,7,33,1,34:26
45,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600470,2016-12-26T00:00:00,DEN @ LAC,W,32.413333333333334,11,16,0.688,2,3,0.667,0,1,0.0,2,8,10,4,2,3,0,0,4,2,24,17,49.0,1,0,46.0,1,1,1,1,25,9,15,18,2,10,7,56,52,56,38,23,35,36,31,4,36,1,51,42,14,14,20,1,7,19,1,32:25
46,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600451,2016-12-23T00:00:00,DEN vs. ATL,L,19.12,3,4,0.75,1,1,1.0,1,2,0.5,1,6,7,6,5,0,3,0,6,2,8,6,29.4,0,0,28.0,1,38,38,38,67,60,69,11,12,46,1,45,37,48,54,37,50,20,4,40,2,1,73,42,60,31,50,40,7,48,1,19:07
47,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600426,2016-12-20T00:00:00,DEN @ LAC,L,20.716666666666665,4,7,0.571,0,2,0.0,1,2,0.5,2,4,6,1,2,0,0,0,3,2,9,-21,15.7,0,0,16.0,1,38,38,38,61,54,57,39,34,26,34,45,37,48,38,54,53,68,31,40,36,1,29,42,57,72,66,40,7,65,1,20:43
48,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600417,2016-12-19T00:00:00,DEN vs. DAL,W,38.03333333333333,13,17,0.765,1,1,1.0,0,0,0.0,3,14,17,9,3,1,0,0,1,3,27,20,60.9,1,0,56.0,1,1,1,1,3,3,11,10,12,46,1,56,57,56,20,3,3,8,17,14,36,1,2,30,9,6,5,1,7,5,1,38:02
